前走競馬場,前走芝ダ,前走距離数値,前3角位置カテゴリ,件数,勝利数,複勝数,勝率,複勝率,単回収率,複回収率
新潟,ダ,1200.0,1番手,89,11,25,0.1236,0.2809,83.1,67.9
新潟,ダ,1200.0,2-3番手,174,17,46,0.0977,0.2644,132.8,73.5
新潟,ダ,1200.0,4-6番手,217,15,46,0.0691,0.212,115.5,74.2
新潟,ダ,1200.0,7-9番手,199,12,36,0.0603,0.1809,136.6,97.9
新潟,ダ,1200.0,10番手以下,283,10,40,0.0353,0.1413,138.6,64.2
新潟,ダ,1800.0,1番手,99,9,35,0.0909,0.3535,64.2,80.6
新潟,ダ,1800.0,2-3番手,237,26,73,0.1097,0.308,92.3,85.3
新潟,ダ,1800.0,4-6番手,277,22,60,0.0794,0.2166,119.9,63.1
新潟,ダ,1800.0,7-9番手,234,15,47,0.0641,0.2009,128.9,56.5
新潟,ダ,1800.0,10番手以下,296,13,56,0.0439,0.1892,153.0,118.2
新潟,芝,1200.0,1番手,25,2,7,0.08,0.28,60.9,54.0
新潟,芝,1200.0,2-3番手,55,8,14,0.1455,0.2545,164.5,84.0
新潟,芝,1200.0,4-6番手,64,15,20,0.2344,0.3125,274.5,81.7
新潟,芝,1200.0,7-9番手,68,3,10,0.0441,0.1471,75.7,42.1
新潟,芝,1200.0,10番手以下,121,3,19,0.0248,0.157,92.6,66.0
新潟,芝,1400.0,1番手,26,3,8,0.1154,0.3077,104.8,65.8
新潟,芝,1400.0,2-3番手,70,6,16,0.0857,0.2286,105.0,60.9
新潟,芝,1400.0,4-6番手,67,3,11,0.0448,0.1642,181.9,59.4
新潟,芝,1400.0,7-9番手,67,3,10,0.0448,0.1493,115.6,77.8
新潟,芝,1400.0,10番手以下,133,3,21,0.0226,0.1579,120.1,84.7
新潟,芝,1600.0,1番手,25,3,5,0.12,0.2,124.8,78.8
新潟,芝,1600.0,2-3番手,73,7,15,0.0959,0.2055,96.5,61.5
新潟,芝,1600.0,4-6番手,77,7,21,0.0909,0.2727,80.1,106.6
新潟,芝,1600.0,7-9番手,79,8,22,0.1013,0.2785,98.1,89.7
新潟,芝,1600.0,10番手以下,115,9,16,0.0783,0.1391,111.0,45.7
新潟,芝,1800.0,1番手,38,5,11,0.1316,0.2895,151.5,73.4
新潟,芝,1800.0,2-3番手,93,9,22,0.0968,0.2366,101.7,61.5
新潟,芝,1800.0,4-6番手,117,8,36,0.0684,0.3077,90.5,72.4
新潟,芝,1800.0,7-9番手,95,4,13,0.0421,0.1368,63.9,32.8
新潟,芝,1800.0,10番手以下,131,8,21,0.0611,0.1603,165.2,72.6
新潟,芝,2000.0,1番手,27,5,6,0.1852,0.2222,275.2,87.0
新潟,芝,2000.0,2-3番手,85,5,17,0.0588,0.2,101.6,97.4
新潟,芝,2000.0,4-6番手,90,4,20,0.0444,0.2222,75.1,70.7
新潟,芝,2000.0,7-9番手,69,4,13,0.058,0.1884,117.6,59.1
新潟,芝,2000.0,10番手以下,93,2,15,0.0215,0.1613,127.4,80.1
新潟,芝,2200.0,2-3番手,34,3,9,0.0882,0.2647,75.5,46.5
新潟,芝,2200.0,4-6番手,43,6,12,0.1395,0.2791,179.1,67.0
新潟,芝,2200.0,7-9番手,50,7,14,0.14,0.28,132.2,50.6
新潟,芝,2200.0,10番手以下,44,6,14,0.1364,0.3182,152.8,152.7
新潟,芝,2890.0,2-3番手,24,2,5,0.0833,0.2083,66.4,49.6
新潟,芝,2890.0,4-6番手,23,2,6,0.087,0.2609,103.4,76.5
新潟,芝,2890.0,7-9番手,21,0,8,0.0,0.381,53.1,148.1
新潟,芝,2890.0,10番手以下,30,1,4,0.0333,0.1333,185.4,59.0
札幌,ダ,1000.0,1番手,29,3,7,0.1034,0.2414,65.6,57.2
札幌,ダ,1000.0,2-3番手,50,3,9,0.06,0.18,54.1,41.0
札幌,ダ,1000.0,4-6番手,55,1,9,0.0182,0.1636,56.2,48.7
札幌,ダ,1000.0,7-9番手,50,0,3,0.0,0.06,78.6,38.0
札幌,ダ,1000.0,10番手以下,36,1,5,0.0278,0.1389,125.8,31.4
札幌,ダ,1700.0,1番手,55,3,11,0.0545,0.2,64.3,43.3
札幌,ダ,1700.0,2-3番手,137,8,29,0.0584,0.2117,63.4,60.7
札幌,ダ,1700.0,4-6番手,184,9,42,0.0489,0.2283,93.3,55.5
札幌,ダ,1700.0,7-9番手,136,9,23,0.0662,0.1691,126.5,40.0
札幌,ダ,1700.0,10番手以下,166,5,22,0.0301,0.1325,167.4,81.1
札幌,芝,1200.0,1番手,41,3,12,0.0732,0.2927,64.8,66.8
札幌,芝,1200.0,2-3番手,90,8,16,0.0889,0.1778,90.3,57.3
札幌,芝,1200.0,4-6番手,103,6,27,0.0583,0.2621,90.5,95.6
札幌,芝,1200.0,7-9番手,75,4,18,0.0533,0.24,80.8,80.0
札幌,芝,1200.0,10番手以下,143,6,27,0.042,0.1888,173.0,88.5
札幌,芝,1500.0,1番手,28,10,12,0.3571,0.4286,348.4,131.1
札幌,芝,1500.0,2-3番手,56,8,14,0.1429,0.25,120.0,82.9
札幌,芝,1500.0,4-6番手,56,4,10,0.0714,0.1786,346.3,83.4
札幌,芝,1500.0,7-9番手,52,0,5,0.0,0.0962,61.2,16.5
札幌,芝,1500.0,10番手以下,57,1,4,0.0175,0.0702,89.8,25.4
札幌,芝,1800.0,1番手,27,2,7,0.0741,0.2593,86.3,69.3
札幌,芝,1800.0,2-3番手,66,7,17,0.1061,0.2576,301.3,98.8
札幌,芝,1800.0,4-6番手,70,6,19,0.0857,0.2714,241.9,77.7
札幌,芝,1800.0,7-9番手,63,3,10,0.0476,0.1587,76.0,84.0
札幌,芝,1800.0,10番手以下,55,1,8,0.0182,0.1455,75.0,42.0
札幌,芝,2000.0,1番手,36,3,11,0.0833,0.3056,116.6,99.4
札幌,芝,2000.0,2-3番手,75,9,24,0.12,0.32,135.3,96.7
札幌,芝,2000.0,4-6番手,72,3,15,0.0417,0.2083,82.9,84.2
札幌,芝,2000.0,7-9番手,76,8,16,0.1053,0.2105,125.0,60.0
札幌,芝,2000.0,10番手以下,101,5,18,0.0495,0.1782,122.7,87.4
札幌,芝,2600.0,2-3番手,38,3,6,0.0789,0.1579,91.1,47.6
札幌,芝,2600.0,4-6番手,43,5,12,0.1163,0.2791,100.8,106.7
札幌,芝,2600.0,7-9番手,39,2,7,0.0513,0.1795,90.6,53.8
札幌,芝,2600.0,10番手以下,39,2,7,0.0513,0.1795,122.9,76.7
東京,ダ,1300.0,1番手,25,1,8,0.04,0.32,54.4,77.6
東京,ダ,1300.0,2-3番手,65,6,17,0.0923,0.2615,289.2,125.1
東京,ダ,1300.0,4-6番手,62,7,20,0.1129,0.3226,99.9,88.1
東京,ダ,1300.0,7-9番手,74,4,12,0.0541,0.1622,101.6,53.8
東京,ダ,1300.0,10番手以下,113,5,13,0.0442,0.115,138.0,46.0
東京,ダ,1400.0,1番手,139,15,36,0.1079,0.259,100.3,87.3
東京,ダ,1400.0,2-3番手,324,32,81,0.0988,0.25,151.6,91.0
東京,ダ,1400.0,4-6番手,372,32,99,0.086,0.2661,177.6,87.9
東京,ダ,1400.0,7-9番手,338,27,69,0.0799,0.2041,120.4,72.0
東京,ダ,1400.0,10番手以下,638,29,98,0.0455,0.1536,159.8,64.5
東京,ダ,1600.0,1番手,163,10,35,0.0613,0.2147,78.0,55.5
東京,ダ,1600.0,2-3番手,405,35,110,0.0864,0.2716,95.2,67.5
東京,ダ,1600.0,4-6番手,423,34,119,0.0804,0.2813,83.4,82.3
東京,ダ,1600.0,7-9番手,427,35,94,0.082,0.2201,110.6,58.7
東京,ダ,1600.0,10番手以下,666,36,131,0.0541,0.1967,124.0,76.4
東京,ダ,2100.0,1番手,58,6,13,0.1034,0.2241,80.6,49.7
東京,ダ,2100.0,2-3番手,144,13,35,0.0903,0.2431,86.1,53.1
東京,ダ,2100.0,4-6番手,161,9,29,0.0559,0.1801,148.5,53.9
東京,ダ,2100.0,7-9番手,157,14,35,0.0892,0.2229,154.6,70.7
東京,ダ,2100.0,10番手以下,255,19,57,0.0745,0.2235,168.5,73.7
東京,芝,1400.0,1番手,73,7,25,0.0959,0.3425,84.3,92.1
東京,芝,1400.0,2-3番手,191,15,48,0.0785,0.2513,123.8,74.1
東京,芝,1400.0,4-6番手,210,13,51,0.0619,0.2429,80.9,69.2
東京,芝,1400.0,7-9番手,223,15,55,0.0673,0.2466,97.3,62.7
東京,芝,1400.0,10番手以下,279,18,52,0.0645,0.1864,139.9,68.6
東京,芝,1600.0,1番手,100,8,28,0.08,0.28,66.5,72.8
東京,芝,1600.0,2-3番手,240,26,71,0.1083,0.2958,101.2,80.9
東京,芝,1600.0,4-6番手,266,30,81,0.1128,0.3045,92.5,76.0
東京,芝,1600.0,7-9番手,228,24,58,0.1053,0.2544,153.3,67.7
東京,芝,1600.0,10番手以下,296,26,63,0.0878,0.2128,180.0,67.9
東京,芝,1800.0,1番手,79,5,14,0.0633,0.1772,161.8,56.7
東京,芝,1800.0,2-3番手,198,25,62,0.1263,0.3131,99.4,77.3
東京,芝,1800.0,4-6番手,191,16,56,0.0838,0.2932,76.7,68.8
東京,芝,1800.0,7-9番手,174,17,51,0.0977,0.2931,112.5,71.0
東京,芝,1800.0,10番手以下,162,9,40,0.0556,0.2469,106.8,59.2
東京,芝,2000.0,1番手,63,8,19,0.127,0.3016,98.7,90.2
東京,芝,2000.0,2-3番手,144,17,43,0.1181,0.2986,83.2,66.9
東京,芝,2000.0,4-6番手,176,22,57,0.125,0.3239,175.7,74.7
東京,芝,2000.0,7-9番手,143,11,40,0.0769,0.2797,83.8,64.5
東京,芝,2000.0,10番手以下,121,15,22,0.124,0.1818,141.7,42.9
東京,芝,2400.0,1番手,49,7,13,0.1429,0.2653,114.4,79.6
東京,芝,2400.0,2-3番手,133,14,38,0.1053,0.2857,141.6,60.3
東京,芝,2400.0,4-6番手,157,15,52,0.0955,0.3312,86.7,66.0
東京,芝,2400.0,7-9番手,127,16,49,0.126,0.3858,109.3,79.4
東京,芝,2400.0,10番手以下,125,14,40,0.112,0.32,168.2,85.4
東京,芝,2500.0,10番手以下,33,1,5,0.0303,0.1515,105.6,57.6
浦和,ダ,1400.0,4-6番手,32,1,5,0.0312,0.1562,124.2,107.8
福島,ダ,1150.0,1番手,60,4,13,0.0667,0.2167,143.4,74.8
福島,ダ,1150.0,2-3番手,140,7,25,0.05,0.1786,55.3,44.4
福島,ダ,1150.0,4-6番手,154,5,24,0.0325,0.1558,70.9,48.4
福島,ダ,1150.0,7-9番手,125,5,21,0.04,0.168,85.1,62.8
福島,ダ,1150.0,10番手以下,223,7,23,0.0314,0.1031,172.8,52.2
福島,ダ,1700.0,1番手,89,9,22,0.1011,0.2472,61.1,56.1
福島,ダ,1700.0,2-3番手,211,15,50,0.0711,0.237,96.8,63.5
福島,ダ,1700.0,4-6番手,235,26,60,0.1106,0.2553,257.9,104.0
福島,ダ,1700.0,7-9番手,218,10,40,0.0459,0.1835,108.7,64.4
福島,ダ,1700.0,10番手以下,279,7,38,0.0251,0.1362,132.3,83.7
福島,芝,1200.0,1番手,92,4,17,0.0435,0.1848,97.1,71.6
福島,芝,1200.0,2-3番手,193,15,44,0.0777,0.228,96.9,73.1
福島,芝,1200.0,4-6番手,195,19,40,0.0974,0.2051,114.4,45.5
福島,芝,1200.0,7-9番手,211,17,43,0.0806,0.2038,237.8,113.9
福島,芝,1200.0,10番手以下,323,11,42,0.0341,0.13,218.0,65.0
福島,芝,1800.0,1番手,44,3,8,0.0682,0.1818,64.8,61.1
福島,芝,1800.0,2-3番手,98,7,22,0.0714,0.2245,107.5,117.6
福島,芝,1800.0,4-6番手,109,4,24,0.0367,0.2202,216.5,95.0
福島,芝,1800.0,7-9番手,102,7,16,0.0686,0.1569,250.2,70.6
福島,芝,1800.0,10番手以下,166,14,29,0.0843,0.1747,248.5,77.7
福島,芝,2000.0,1番手,35,4,13,0.1143,0.3714,190.7,132.6
福島,芝,2000.0,2-3番手,86,6,21,0.0698,0.2442,63.5,82.9
福島,芝,2000.0,4-6番手,83,3,16,0.0361,0.1928,58.8,54.0
福島,芝,2000.0,7-9番手,100,12,25,0.12,0.25,117.7,61.9
福島,芝,2000.0,10番手以下,117,3,16,0.0256,0.1368,133.0,44.7
福島,芝,2600.0,1番手,23,2,7,0.087,0.3043,92.3,110.4
福島,芝,2600.0,2-3番手,56,3,19,0.0536,0.3393,103.5,79.3
福島,芝,2600.0,4-6番手,61,2,15,0.0328,0.2459,72.6,174.6
福島,芝,2600.0,7-9番手,48,4,14,0.0833,0.2917,508.2,132.1
福島,芝,2600.0,10番手以下,70,7,14,0.1,0.2,182.1,100.0
福島,芝,2750.0,2-3番手,23,4,7,0.1739,0.3043,141.1,61.7
福島,芝,2750.0,4-6番手,21,2,3,0.0952,0.1429,146.4,45.7
福島,芝,2750.0,10番手以下,25,0,2,0.0,0.08,143.2,18.4
笠松,ダ,1400.0,1番手,45,1,2,0.0222,0.0444,138.3,19.1
笠松,ダ,1400.0,2-3番手,56,1,3,0.0179,0.0536,166.3,20.4
笠松,ダ,1400.0,4-6番手,27,0,0,0.0,0.0,193.3,0.0
金沢,ダ,1500.0,1番手,33,1,4,0.0303,0.1212,146.9,29.7
金沢,ダ,1500.0,2-3番手,21,1,2,0.0476,0.0952,224.4,112.4
門別,ダ,1200.0,2-3番手,28,1,5,0.0357,0.1786,102.8,66.4
門別,ダ,1200.0,4-6番手,30,2,2,0.0667,0.0667,397.4,44.7
阪神,ダ,1200.0,1番手,97,10,31,0.1031,0.3196,82.8,79.4
阪神,ダ,1200.0,2-3番手,257,25,68,0.0973,0.2646,107.9,78.9
阪神,ダ,1200.0,4-6番手,249,17,64,0.0683,0.257,97.2,80.0
阪神,ダ,1200.0,7-9番手,240,20,61,0.0833,0.2542,185.5,92.3
阪神,ダ,1200.0,10番手以下,386,17,47,0.044,0.1218,135.2,55.1
阪神,ダ,1400.0,1番手,106,15,37,0.1415,0.3491,104.7,96.4
阪神,ダ,1400.0,2-3番手,302,29,82,0.096,0.2715,71.4,75.1
阪神,ダ,1400.0,4-6番手,285,29,72,0.1018,0.2526,102.5,67.5
阪神,ダ,1400.0,7-9番手,280,11,55,0.0393,0.1964,85.5,71.9
阪神,ダ,1400.0,10番手以下,474,14,67,0.0295,0.1414,128.5,58.8
阪神,ダ,1800.0,1番手,187,32,60,0.1711,0.3209,128.8,92.3
阪神,ダ,1800.0,2-3番手,423,52,129,0.1229,0.305,99.8,77.0
阪神,ダ,1800.0,4-6番手,468,49,127,0.1047,0.2714,145.3,73.3
阪神,ダ,1800.0,7-9番手,399,29,93,0.0727,0.2331,110.5,69.0
阪神,ダ,1800.0,10番手以下,454,26,80,0.0573,0.1762,146.5,89.6
阪神,ダ,2000.0,1番手,32,7,12,0.2188,0.375,587.4,177.5
阪神,ダ,2000.0,2-3番手,85,7,11,0.0824,0.1294,120.0,36.9
阪神,ダ,2000.0,4-6番手,101,9,23,0.0891,0.2277,85.5,83.7
阪神,ダ,2000.0,7-9番手,81,2,12,0.0247,0.1481,147.3,46.3
阪神,ダ,2000.0,10番手以下,99,4,14,0.0404,0.1414,109.2,104.3
阪神,ダ,3110.0,2-3番手,26,6,12,0.2308,0.4615,159.0,96.2
阪神,ダ,3110.0,4-6番手,26,2,5,0.0769,0.1923,65.6,36.5
阪神,ダ,3110.0,7-9番手,21,0,2,0.0,0.0952,45.3,32.4
阪神,芝,1200.0,1番手,42,10,12,0.2381,0.2857,177.2,72.4
阪神,芝,1200.0,2-3番手,100,9,29,0.09,0.29,130.1,110.4
阪神,芝,1200.0,4-6番手,111,11,30,0.0991,0.2703,209.1,93.1
阪神,芝,1200.0,7-9番手,96,6,22,0.0625,0.2292,152.2,82.3
阪神,芝,1200.0,10番手以下,140,6,21,0.0429,0.15,86.8,59.6
阪神,芝,1400.0,1番手,67,6,14,0.0896,0.209,62.2,76.4
阪神,芝,1400.0,2-3番手,146,15,41,0.1027,0.2808,111.6,69.5
阪神,芝,1400.0,4-6番手,186,16,50,0.086,0.2688,118.1,77.6
阪神,芝,1400.0,7-9番手,149,14,27,0.094,0.1812,176.0,73.7
阪神,芝,1400.0,10番手以下,230,9,44,0.0391,0.1913,108.1,101.8
阪神,芝,1600.0,1番手,86,10,21,0.1163,0.2442,104.9,81.2
阪神,芝,1600.0,2-3番手,197,29,53,0.1472,0.269,113.3,79.0
阪神,芝,1600.0,4-6番手,221,29,77,0.1312,0.3484,153.9,88.5
阪神,芝,1600.0,7-9番手,206,14,53,0.068,0.2573,192.0,80.2
阪神,芝,1600.0,10番手以下,273,26,62,0.0952,0.2271,126.6,54.2
阪神,芝,1800.0,1番手,62,7,16,0.1129,0.2581,153.9,75.0
阪神,芝,1800.0,2-3番手,131,16,47,0.1221,0.3588,136.1,86.9
阪神,芝,1800.0,4-6番手,170,34,53,0.2,0.3118,141.1,61.7
阪神,芝,1800.0,7-9番手,129,10,35,0.0775,0.2713,84.4,79.8
阪神,芝,1800.0,10番手以下,83,9,18,0.1084,0.2169,132.2,56.4
阪神,芝,2000.0,1番手,61,10,16,0.1639,0.2623,230.4,80.2
阪神,芝,2000.0,2-3番手,144,11,42,0.0764,0.2917,60.9,94.1
阪神,芝,2000.0,4-6番手,167,16,52,0.0958,0.3114,90.3,71.9
阪神,芝,2000.0,7-9番手,154,13,38,0.0844,0.2468,98.2,55.3
阪神,芝,2000.0,10番手以下,120,7,27,0.0583,0.225,116.3,67.8
阪神,芝,2200.0,2-3番手,39,5,11,0.1282,0.2821,152.1,113.6
阪神,芝,2200.0,4-6番手,47,5,15,0.1064,0.3191,77.1,70.6
阪神,芝,2200.0,7-9番手,34,2,7,0.0588,0.2059,88.0,92.6
阪神,芝,2200.0,10番手以下,35,2,9,0.0571,0.2571,124.3,75.1
阪神,芝,2400.0,1番手,32,2,6,0.0625,0.1875,144.3,38.1
阪神,芝,2400.0,2-3番手,81,11,26,0.1358,0.321,123.2,60.2
阪神,芝,2400.0,4-6番手,89,8,29,0.0899,0.3258,142.4,62.9
阪神,芝,2400.0,7-9番手,69,4,15,0.058,0.2174,88.2,58.4
阪神,芝,2400.0,10番手以下,42,3,7,0.0714,0.1667,138.8,60.0
阪神,芝,3000.0,4-6番手,20,0,2,0.0,0.1,52.3,18.5
阪神,芝,3000.0,10番手以下,25,1,5,0.04,0.2,84.5,39.2
