場所,芝ダ,距離,前走場所,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
中京,ダ,1200,中京,137,9,27,0.0657,0.1971,0.2
中京,ダ,1200,中山,50,2,10,0.04,0.2,0.207547
中京,ダ,1200,京都,35,4,7,0.1143,0.2,0.210526
中京,ダ,1200,佐賀,1,0,0,0.0,0.0,0.25
中京,ダ,1200,函館,2,0,1,0.0,0.5,0.4
中京,ダ,1200,名古,1,0,0,0.0,0.0,0.25
中京,ダ,1200,園田,11,0,2,0.0,0.1818,0.214286
中京,ダ,1200,大井,1,0,0,0.0,0.0,0.25
中京,ダ,1200,姫路,1,0,0,0.0,0.0,0.25
中京,ダ,1200,小倉,48,4,10,0.0833,0.2083,0.215686
中京,ダ,1200,川崎,3,0,0,0.0,0.0,0.166667
中京,ダ,1200,新潟,52,5,13,0.0962,0.25,0.254545
中京,ダ,1200,札幌,14,0,1,0.0,0.0714,0.117647
中京,ダ,1200,東京,29,3,6,0.1034,0.2069,0.21875
中京,ダ,1200,浦和,1,0,1,0.0,1.0,0.5
中京,ダ,1200,盛岡,1,0,0,0.0,0.0,0.25
中京,ダ,1200,福島,41,1,5,0.0244,0.122,0.136364
中京,ダ,1200,笠松,1,0,0,0.0,0.0,0.25
中京,ダ,1200,金沢,1,0,0,0.0,0.0,0.25
中京,ダ,1200,門別,2,0,0,0.0,0.0,0.2
中京,ダ,1200,阪神,138,9,29,0.0652,0.2101,0.212766
中京,ダ,1400,中京,150,8,30,0.0533,0.2,0.202614
中京,ダ,1400,中山,36,1,4,0.0278,0.1111,0.128205
中京,ダ,1400,京都,40,3,7,0.075,0.175,0.186047
中京,ダ,1400,函館,2,1,1,0.5,0.5,0.4
中京,ダ,1400,名古,11,0,0,0.0,0.0,0.071429
中京,ダ,1400,園田,7,1,1,0.1429,0.1429,0.2
中京,ダ,1400,大井,1,0,0,0.0,0.0,0.25
中京,ダ,1400,姫路,1,0,1,0.0,1.0,0.5
中京,ダ,1400,小倉,46,4,7,0.087,0.1522,0.163265
中京,ダ,1400,川崎,7,0,1,0.0,0.1429,0.2
中京,ダ,1400,新潟,26,0,5,0.0,0.1923,0.206897
中京,ダ,1400,札幌,9,0,1,0.0,0.1111,0.166667
中京,ダ,1400,東京,121,11,30,0.0909,0.2479,0.25
中京,ダ,1400,水沢,3,0,0,0.0,0.0,0.166667
中京,ダ,1400,浦和,2,0,0,0.0,0.0,0.2
中京,ダ,1400,盛岡,2,0,0,0.0,0.0,0.2
中京,ダ,1400,福島,23,1,3,0.0435,0.1304,0.153846
中京,ダ,1400,笠松,4,0,0,0.0,0.0,0.142857
中京,ダ,1400,船橋,3,1,1,0.3333,0.3333,0.333333
中京,ダ,1400,門別,2,0,0,0.0,0.0,0.2
中京,ダ,1400,阪神,169,13,41,0.0769,0.2426,0.244186
中京,ダ,1400,高知,3,0,0,0.0,0.0,0.166667
中京,ダ,1800,,1,0,0,0.0,0.0,0.25
中京,ダ,1800,中京,172,10,39,0.0581,0.2267,0.228571
中京,ダ,1800,中山,43,0,8,0.0,0.186,0.195652
中京,ダ,1800,京都,65,5,18,0.0769,0.2769,0.279412
中京,ダ,1800,函館,10,1,3,0.1,0.3,0.307692
中京,ダ,1800,名古,5,1,2,0.2,0.4,0.375
中京,ダ,1800,園田,4,0,1,0.0,0.25,0.285714
中京,ダ,1800,姫路,1,0,0,0.0,0.0,0.25
中京,ダ,1800,小倉,65,6,11,0.0923,0.1692,0.176471
中京,ダ,1800,川崎,2,0,0,0.0,0.0,0.2
中京,ダ,1800,新潟,57,6,16,0.1053,0.2807,0.283333
中京,ダ,1800,札幌,17,2,4,0.1176,0.2353,0.25
中京,ダ,1800,東京,71,4,17,0.0563,0.2394,0.243243
中京,ダ,1800,浦和,2,0,0,0.0,0.0,0.2
中京,ダ,1800,福島,38,4,6,0.1053,0.1579,0.170732
中京,ダ,1800,笠松,4,0,0,0.0,0.0,0.142857
中京,ダ,1800,船橋,2,0,1,0.0,0.5,0.4
中京,ダ,1800,金沢,2,1,1,0.5,0.5,0.4
中京,ダ,1800,門別,2,0,1,0.0,0.5,0.4
中京,ダ,1800,阪神,219,23,58,0.105,0.2648,0.265766
中京,ダ,1900,中京,84,5,23,0.0595,0.2738,0.275862
中京,ダ,1900,中山,32,1,5,0.0312,0.1562,0.171429
中京,ダ,1900,京都,17,1,3,0.0588,0.1765,0.2
中京,ダ,1900,函館,1,0,1,0.0,1.0,0.5
中京,ダ,1900,名古,2,0,0,0.0,0.0,0.2
中京,ダ,1900,園田,3,0,0,0.0,0.0,0.166667
中京,ダ,1900,大井,1,0,0,0.0,0.0,0.25
中京,ダ,1900,小倉,28,3,5,0.1071,0.1786,0.193548
中京,ダ,1900,新潟,26,2,6,0.0769,0.2308,0.241379
中京,ダ,1900,札幌,5,0,1,0.0,0.2,0.25
中京,ダ,1900,東京,46,4,11,0.087,0.2391,0.244898
中京,ダ,1900,浦和,1,1,1,1.0,1.0,0.5
中京,ダ,1900,福島,11,0,1,0.0,0.0909,0.142857
中京,ダ,1900,笠松,2,0,1,0.0,0.5,0.4
中京,ダ,1900,船橋,2,0,0,0.0,0.0,0.2
中京,ダ,1900,門別,1,0,0,0.0,0.0,0.25
中京,ダ,1900,阪神,76,8,17,0.1053,0.2237,0.227848
中京,芝,1200,中京,45,4,8,0.0889,0.1778,0.1875
中京,芝,1200,中山,25,1,6,0.04,0.24,0.25
中京,芝,1200,京都,14,3,6,0.2143,0.4286,0.411765
中京,芝,1200,佐賀,1,0,0,0.0,0.0,0.25
中京,芝,1200,函館,2,0,0,0.0,0.0,0.2
中京,芝,1200,園田,1,0,0,0.0,0.0,0.25
中京,芝,1200,大井,1,0,0,0.0,0.0,0.25
中京,芝,1200,小倉,55,3,13,0.0545,0.2364,0.241379
中京,芝,1200,新潟,43,4,10,0.093,0.2326,0.23913
中京,芝,1200,札幌,15,1,3,0.0667,0.2,0.222222
中京,芝,1200,東京,12,2,2,0.1667,0.1667,0.2
中京,芝,1200,福島,49,3,8,0.0612,0.1633,0.173077
中京,芝,1200,笠松,1,0,0,0.0,0.0,0.25
中京,芝,1200,船橋,1,0,0,0.0,0.0,0.25
中京,芝,1200,阪神,60,1,10,0.0167,0.1667,0.174603
中京,芝,1400,アラ首,1,1,1,1.0,1.0,0.5
中京,芝,1400,中京,102,14,27,0.1373,0.2647,0.266667
中京,芝,1400,中山,25,0,2,0.0,0.08,0.107143
中京,芝,1400,京都,44,2,11,0.0455,0.25,0.255319
中京,芝,1400,函館,3,0,0,0.0,0.0,0.166667
中京,芝,1400,名古,2,0,0,0.0,0.0,0.2
中京,芝,1400,園田,2,0,0,0.0,0.0,0.2
中京,芝,1400,大井,1,0,0,0.0,0.0,0.25
中京,芝,1400,小倉,34,1,11,0.0294,0.3235,0.324324
中京,芝,1400,川崎,1,0,0,0.0,0.0,0.25
中京,芝,1400,新潟,26,2,5,0.0769,0.1923,0.206897
中京,芝,1400,札幌,6,1,2,0.1667,0.3333,0.333333
中京,芝,1400,東京,56,4,11,0.0714,0.1964,0.20339
中京,芝,1400,水沢,1,0,0,0.0,0.0,0.25
中京,芝,1400,福島,25,2,3,0.08,0.12,0.142857
中京,芝,1400,笠松,1,0,0,0.0,0.0,0.25
中京,芝,1400,船橋,3,0,0,0.0,0.0,0.166667
中京,芝,1400,金沢,2,0,0,0.0,0.0,0.2
中京,芝,1400,阪神,119,5,23,0.042,0.1933,0.196721
中京,芝,1600,,1,0,0,0.0,0.0,0.25
中京,芝,1600,中京,103,10,33,0.0971,0.3204,0.320755
中京,芝,1600,中山,25,1,4,0.04,0.16,0.178571
中京,芝,1600,京都,45,5,16,0.1111,0.3556,0.354167
中京,芝,1600,函館,2,0,0,0.0,0.0,0.2
中京,芝,1600,名古,2,0,0,0.0,0.0,0.2
中京,芝,1600,大井,1,0,0,0.0,0.0,0.25
中京,芝,1600,小倉,47,0,6,0.0,0.1277,0.14
中京,芝,1600,新潟,42,2,5,0.0476,0.119,0.133333
中京,芝,1600,札幌,18,2,3,0.1111,0.1667,0.190476
中京,芝,1600,東京,78,7,22,0.0897,0.2821,0.283951
中京,芝,1600,盛岡,2,0,0,0.0,0.0,0.2
中京,芝,1600,福島,21,2,3,0.0952,0.1429,0.166667
中京,芝,1600,笠松,2,0,0,0.0,0.0,0.2
中京,芝,1600,船橋,1,0,0,0.0,0.0,0.25
中京,芝,1600,阪神,128,14,37,0.1094,0.2891,0.290076
中京,芝,2000,,1,0,0,0.0,0.0,0.25
中京,芝,2000,中京,127,13,35,0.1024,0.2756,0.276923
中京,芝,2000,中山,37,1,4,0.027,0.1081,0.125
中京,芝,2000,京都,33,2,11,0.0606,0.3333,0.333333
中京,芝,2000,佐賀,1,0,0,0.0,0.0,0.25
中京,芝,2000,函館,1,1,1,1.0,1.0,0.5
中京,芝,2000,名古,4,0,1,0.0,0.25,0.285714
中京,芝,2000,園田,5,1,1,0.2,0.2,0.25
中京,芝,2000,小倉,76,5,21,0.0658,0.2763,0.278481
中京,芝,2000,川崎,1,0,1,0.0,1.0,0.5
中京,芝,2000,新潟,38,4,8,0.1053,0.2105,0.219512
中京,芝,2000,札幌,18,1,2,0.0556,0.1111,0.142857
中京,芝,2000,東京,48,8,17,0.1667,0.3542,0.352941
中京,芝,2000,浦和,1,0,0,0.0,0.0,0.25
中京,芝,2000,盛岡,1,0,0,0.0,0.0,0.25
中京,芝,2000,福島,51,4,13,0.0784,0.2549,0.259259
中京,芝,2000,笠松,2,0,0,0.0,0.0,0.2
中京,芝,2000,船橋,2,0,0,0.0,0.0,0.2
中京,芝,2000,阪神,119,12,41,0.1008,0.3445,0.344262
中京,芝,2200,中京,75,7,25,0.0933,0.3333,0.333333
中京,芝,2200,中山,22,3,7,0.1364,0.3182,0.32
中京,芝,2200,京都,18,1,6,0.0556,0.3333,0.333333
中京,芝,2200,函館,2,1,1,0.5,0.5,0.4
中京,芝,2200,名古,2,0,0,0.0,0.0,0.2
中京,芝,2200,園田,2,0,0,0.0,0.0,0.2
中京,芝,2200,小倉,41,4,10,0.0976,0.2439,0.25
中京,芝,2200,新潟,19,0,3,0.0,0.1579,0.181818
中京,芝,2200,札幌,8,1,2,0.125,0.25,0.272727
中京,芝,2200,東京,35,4,9,0.1143,0.2571,0.263158
中京,芝,2200,福島,21,2,6,0.0952,0.2857,0.291667
中京,芝,2200,笠松,2,0,0,0.0,0.0,0.2
中京,芝,2200,阪神,59,6,18,0.1017,0.3051,0.306452
中山,ダ,1200,中京,119,8,24,0.0672,0.2017,0.204918
中山,ダ,1200,中山,549,40,113,0.0729,0.2058,0.206522
中山,ダ,1200,京都,53,4,14,0.0755,0.2642,0.267857
中山,ダ,1200,佐賀,3,0,0,0.0,0.0,0.166667
中山,ダ,1200,函館,7,1,1,0.1429,0.1429,0.2
中山,ダ,1200,名古,2,0,0,0.0,0.0,0.2
中山,ダ,1200,園田,10,0,0,0.0,0.0,0.076923
中山,ダ,1200,姫路,1,0,0,0.0,0.0,0.25
中山,ダ,1200,小倉,46,2,7,0.0435,0.1522,0.163265
中山,ダ,1200,川崎,4,0,0,0.0,0.0,0.142857
中山,ダ,1200,新潟,139,5,24,0.036,0.1727,0.176056
中山,ダ,1200,札幌,43,0,6,0.0,0.1395,0.152174
中山,ダ,1200,東京,224,21,50,0.0938,0.2232,0.22467
中山,ダ,1200,水沢,2,0,0,0.0,0.0,0.2
中山,ダ,1200,浦和,4,0,0,0.0,0.0,0.142857
中山,ダ,1200,盛岡,6,0,0,0.0,0.0,0.111111
中山,ダ,1200,福島,117,7,21,0.0598,0.1795,0.183333
中山,ダ,1200,笠松,6,0,0,0.0,0.0,0.111111
中山,ダ,1200,金沢,3,0,0,0.0,0.0,0.166667
中山,ダ,1200,門別,12,1,1,0.0833,0.0833,0.133333
中山,ダ,1200,阪神,97,5,21,0.0515,0.2165,0.22
中山,ダ,1200,高知,1,0,0,0.0,0.0,0.25
中山,ダ,1800,中京,90,5,19,0.0556,0.2111,0.215054
中山,ダ,1800,中山,543,33,112,0.0608,0.2063,0.20696
中山,ダ,1800,京都,48,4,10,0.0833,0.2083,0.215686
中山,ダ,1800,佐賀,6,0,0,0.0,0.0,0.111111
中山,ダ,1800,函館,12,3,3,0.25,0.25,0.266667
中山,ダ,1800,名古,4,0,0,0.0,0.0,0.142857
中山,ダ,1800,園田,5,0,0,0.0,0.0,0.125
中山,ダ,1800,大井,3,0,1,0.0,0.3333,0.333333
中山,ダ,1800,姫路,1,0,0,0.0,0.0,0.25
中山,ダ,1800,小倉,44,5,14,0.1136,0.3182,0.319149
中山,ダ,1800,川崎,10,0,1,0.0,0.1,0.153846
中山,ダ,1800,新潟,126,8,31,0.0635,0.246,0.248062
中山,ダ,1800,札幌,70,6,14,0.0857,0.2,0.205479
中山,ダ,1800,東京,297,25,63,0.0842,0.2121,0.213333
中山,ダ,1800,浦和,9,0,1,0.0,0.1111,0.166667
中山,ダ,1800,盛岡,1,0,0,0.0,0.0,0.25
中山,ダ,1800,福島,100,8,21,0.08,0.21,0.213592
中山,ダ,1800,笠松,1,0,0,0.0,0.0,0.25
中山,ダ,1800,船橋,2,0,0,0.0,0.0,0.2
中山,ダ,1800,金沢,3,0,0,0.0,0.0,0.166667
中山,ダ,1800,門別,3,0,0,0.0,0.0,0.166667
中山,ダ,1800,阪神,84,6,16,0.0714,0.1905,0.195402
中山,ダ,1800,高知,1,0,0,0.0,0.0,0.25
中山,ダ,2400,中京,15,3,5,0.2,0.3333,0.333333
中山,ダ,2400,中山,70,3,14,0.0429,0.2,0.205479
中山,ダ,2400,京都,5,0,1,0.0,0.2,0.25
中山,ダ,2400,函館,2,0,0,0.0,0.0,0.2
中山,ダ,2400,名古,1,0,0,0.0,0.0,0.25
中山,ダ,2400,小倉,17,1,2,0.0588,0.1176,0.15
中山,ダ,2400,川崎,1,0,0,0.0,0.0,0.25
中山,ダ,2400,新潟,24,4,8,0.1667,0.3333,0.333333
中山,ダ,2400,札幌,16,0,3,0.0,0.1875,0.210526
中山,ダ,2400,東京,66,4,12,0.0606,0.1818,0.188406
中山,ダ,2400,浦和,1,0,0,0.0,0.0,0.25
中山,ダ,2400,福島,7,1,2,0.1429,0.2857,0.3
中山,ダ,2400,船橋,1,0,0,0.0,0.0,0.25
中山,ダ,2400,阪神,13,0,1,0.0,0.0769,0.125
中山,ダ,2500,中山,2,0,1,0.0,0.5,0.4
中山,ダ,2500,名古,1,0,0,0.0,0.0,0.25
中山,ダ,2500,園田,1,0,0,0.0,0.0,0.25
中山,ダ,2500,新潟,2,0,0,0.0,0.0,0.2
中山,ダ,2500,東京,5,1,1,0.2,0.2,0.25
中山,ダ,2500,福島,9,1,4,0.1111,0.4444,0.416667
中山,ダ,2500,笠松,1,0,0,0.0,0.0,0.25
中山,ダ,2500,金沢,1,0,0,0.0,0.0,0.25
中山,芝,1200,中京,23,2,3,0.087,0.1304,0.153846
中山,芝,1200,中山,183,16,42,0.0874,0.2295,0.231183
中山,芝,1200,京都,22,1,4,0.0455,0.1818,0.2
中山,芝,1200,佐賀,1,0,0,0.0,0.0,0.25
中山,芝,1200,函館,10,3,5,0.3,0.5,0.461538
中山,芝,1200,小倉,57,3,13,0.0526,0.2281,0.233333
中山,芝,1200,新潟,56,4,10,0.0714,0.1786,0.186441
中山,芝,1200,札幌,33,0,8,0.0,0.2424,0.25
中山,芝,1200,東京,47,2,10,0.0426,0.2128,0.22
中山,芝,1200,浦和,1,0,0,0.0,0.0,0.25
中山,芝,1200,盛岡,4,0,0,0.0,0.0,0.142857
中山,芝,1200,福島,74,2,14,0.027,0.1892,0.194805
中山,芝,1200,笠松,1,0,0,0.0,0.0,0.25
中山,芝,1200,船橋,1,0,1,0.0,1.0,0.5
中山,芝,1200,阪神,56,8,14,0.1429,0.25,0.254237
中山,芝,1600,中京,52,1,7,0.0192,0.1346,0.145455
中山,芝,1600,中山,230,19,62,0.0826,0.2696,0.270386
中山,芝,1600,京都,17,1,2,0.0588,0.1176,0.15
中山,芝,1600,函館,6,0,1,0.0,0.1667,0.222222
中山,芝,1600,名古,4,0,0,0.0,0.0,0.142857
中山,芝,1600,園田,1,0,0,0.0,0.0,0.25
中山,芝,1600,大井,2,0,0,0.0,0.0,0.2
中山,芝,1600,小倉,17,1,3,0.0588,0.1765,0.2
中山,芝,1600,川崎,2,0,0,0.0,0.0,0.2
中山,芝,1600,新潟,77,5,16,0.0649,0.2078,0.2125
中山,芝,1600,札幌,54,7,13,0.1296,0.2407,0.245614
中山,芝,1600,東京,204,19,53,0.0931,0.2598,0.26087
中山,芝,1600,水沢,1,0,0,0.0,0.0,0.25
中山,芝,1600,盛岡,5,0,0,0.0,0.0,0.125
中山,芝,1600,福島,22,1,3,0.0455,0.1364,0.16
中山,芝,1600,笠松,2,0,0,0.0,0.0,0.2
中山,芝,1600,船橋,5,0,0,0.0,0.0,0.125
中山,芝,1600,金沢,2,0,0,0.0,0.0,0.2
中山,芝,1600,門別,3,0,0,0.0,0.0,0.166667
中山,芝,1600,阪神,59,4,14,0.0678,0.2373,0.241935
中山,芝,1800,中京,18,1,4,0.0556,0.2222,0.238095
中山,芝,1800,中山,121,12,35,0.0992,0.2893,0.290323
中山,芝,1800,京都,18,2,7,0.1111,0.3889,0.380952
中山,芝,1800,函館,2,1,1,0.5,0.5,0.4
中山,芝,1800,園田,3,0,0,0.0,0.0,0.166667
中山,芝,1800,小倉,29,2,7,0.069,0.2414,0.25
中山,芝,1800,新潟,46,2,4,0.0435,0.087,0.102041
中山,芝,1800,札幌,26,2,8,0.0769,0.3077,0.310345
中山,芝,1800,東京,126,10,33,0.0794,0.2619,0.263566
中山,芝,1800,盛岡,1,0,0,0.0,0.0,0.25
中山,芝,1800,福島,33,1,4,0.0303,0.1212,0.138889
中山,芝,1800,門別,1,0,0,0.0,0.0,0.25
中山,芝,1800,阪神,27,3,5,0.1111,0.1852,0.2
中山,芝,2000,中京,23,0,5,0.0,0.2174,0.230769
中山,芝,2000,中山,123,11,30,0.0894,0.2439,0.246032
中山,芝,2000,京都,7,0,0,0.0,0.0,0.1
中山,芝,2000,函館,4,0,0,0.0,0.0,0.142857
中山,芝,2000,小倉,23,2,7,0.087,0.3043,0.307692
中山,芝,2000,新潟,33,2,9,0.0606,0.2727,0.277778
中山,芝,2000,札幌,23,2,5,0.087,0.2174,0.230769
中山,芝,2000,東京,87,5,20,0.0575,0.2299,0.233333
中山,芝,2000,水沢,1,0,0,0.0,0.0,0.25
中山,芝,2000,福島,38,5,10,0.1316,0.2632,0.268293
中山,芝,2000,阪神,25,3,4,0.12,0.16,0.178571
中山,芝,2200,中京,15,2,5,0.1333,0.3333,0.333333
中山,芝,2200,中山,90,6,22,0.0667,0.2444,0.247312
中山,芝,2200,京都,4,1,3,0.25,0.75,0.571429
中山,芝,2200,佐賀,1,0,0,0.0,0.0,0.25
中山,芝,2200,函館,2,0,1,0.0,0.5,0.4
中山,芝,2200,園田,1,0,0,0.0,0.0,0.25
中山,芝,2200,小倉,3,0,0,0.0,0.0,0.166667
中山,芝,2200,川崎,1,0,0,0.0,0.0,0.25
中山,芝,2200,新潟,4,0,1,0.0,0.25,0.285714
中山,芝,2200,札幌,6,1,1,0.1667,0.1667,0.222222
中山,芝,2200,東京,35,5,12,0.1429,0.3429,0.342105
中山,芝,2200,水沢,1,0,0,0.0,0.0,0.25
中山,芝,2200,浦和,1,0,0,0.0,0.0,0.25
中山,芝,2200,福島,11,1,4,0.0909,0.3636,0.357143
中山,芝,2200,門別,1,0,0,0.0,0.0,0.25
中山,芝,2200,阪神,15,0,0,0.0,0.0,0.055556
中山,芝,2500,中京,4,0,1,0.0,0.25,0.285714
中山,芝,2500,中山,41,2,8,0.0488,0.1951,0.204545
中山,芝,2500,京都,12,2,4,0.1667,0.3333,0.333333
中山,芝,2500,小倉,15,1,6,0.0667,0.4,0.388889
中山,芝,2500,新潟,21,3,7,0.1429,0.3333,0.333333
中山,芝,2500,札幌,14,2,3,0.1429,0.2143,0.235294
中山,芝,2500,東京,54,4,13,0.0741,0.2407,0.245614
中山,芝,2500,福島,25,2,5,0.08,0.2,0.214286
中山,芝,2500,船橋,1,0,0,0.0,0.0,0.25
中山,芝,2500,阪神,24,1,4,0.0417,0.1667,0.185185
京都,ダ,1200,中京,57,5,14,0.0877,0.2456,0.25
京都,ダ,1200,中山,63,2,10,0.0317,0.1587,0.166667
京都,ダ,1200,京都,146,14,41,0.0959,0.2808,0.281879
京都,ダ,1200,函館,2,0,0,0.0,0.0,0.2
京都,ダ,1200,園田,2,0,0,0.0,0.0,0.2
京都,ダ,1200,姫路,2,0,0,0.0,0.0,0.2
京都,ダ,1200,小倉,25,0,1,0.0,0.04,0.071429
京都,ダ,1200,新潟,34,3,6,0.0882,0.1765,0.189189
京都,ダ,1200,札幌,5,0,0,0.0,0.0,0.125
京都,ダ,1200,東京,26,1,3,0.0385,0.1154,0.137931
京都,ダ,1200,浦和,3,0,0,0.0,0.0,0.166667
京都,ダ,1200,福島,37,1,4,0.027,0.1081,0.125
京都,ダ,1200,笠松,2,0,0,0.0,0.0,0.2
京都,ダ,1200,門別,1,0,0,0.0,0.0,0.25
京都,ダ,1200,阪神,157,11,32,0.0701,0.2038,0.20625
京都,ダ,1200,高知,2,0,0,0.0,0.0,0.2
京都,ダ,1400,中京,59,5,11,0.0847,0.1864,0.193548
京都,ダ,1400,中山,24,1,2,0.0417,0.0833,0.111111
京都,ダ,1400,京都,187,10,40,0.0535,0.2139,0.215789
京都,ダ,1400,名古,3,0,1,0.0,0.3333,0.333333
京都,ダ,1400,園田,8,0,2,0.0,0.25,0.272727
京都,ダ,1400,大井,2,0,0,0.0,0.0,0.2
京都,ダ,1400,小倉,21,3,5,0.1429,0.2381,0.25
京都,ダ,1400,川崎,2,0,0,0.0,0.0,0.2
京都,ダ,1400,新潟,8,0,1,0.0,0.125,0.181818
京都,ダ,1400,札幌,8,0,0,0.0,0.0,0.090909
京都,ダ,1400,東京,54,2,9,0.037,0.1667,0.175439
京都,ダ,1400,水沢,1,0,0,0.0,0.0,0.25
京都,ダ,1400,浦和,1,0,0,0.0,0.0,0.25
京都,ダ,1400,福島,17,0,2,0.0,0.1176,0.15
京都,ダ,1400,笠松,6,1,1,0.1667,0.1667,0.222222
京都,ダ,1400,船橋,1,0,0,0.0,0.0,0.25
京都,ダ,1400,金沢,2,0,0,0.0,0.0,0.2
京都,ダ,1400,阪神,188,18,46,0.0957,0.2447,0.246073
京都,ダ,1400,高知,2,0,0,0.0,0.0,0.2
京都,ダ,1800,,1,0,0,0.0,0.0,0.25
